time_iso8601,forks_cumulative
2015-03-19 00:00:00+00:00,1
2015-03-27 00:00:00+00:00,2
2016-03-22 00:00:00+00:00,3
2016-04-09 00:00:00+00:00,4
2016-12-17 00:00:00+00:00,5
2017-02-24 00:00:00+00:00,6
2017-02-25 00:00:00+00:00,7
2018-04-12 00:00:00+00:00,8
2018-04-25 00:00:00+00:00,9
2018-09-23 00:00:00+00:00,10
2019-03-15 00:00:00+00:00,11
2019-04-28 00:00:00+00:00,12
2019-07-30 00:00:00+00:00,13
2019-12-01 00:00:00+00:00,14
2020-01-02 00:00:00+00:00,15
2020-03-03 00:00:00+00:00,16
2020-04-02 00:00:00+00:00,17
2020-06-08 00:00:00+00:00,18
2020-09-18 00:00:00+00:00,19
2020-10-23 00:00:00+00:00,20
2020-11-01 00:00:00+00:00,21
2021-02-23 00:00:00+00:00,22
2021-06-07 00:00:00+00:00,23
2021-08-27 00:00:00+00:00,24
2021-09-23 00:00:00+00:00,25
2021-10-09 00:00:00+00:00,26
2022-04-10 00:00:00+00:00,27
2022-04-18 00:00:00+00:00,28
2022-05-21 00:00:00+00:00,29
2022-11-08 00:00:00+00:00,30
2022-11-14 00:00:00+00:00,31
2022-12-05 00:00:00+00:00,32
2023-01-14 00:00:00+00:00,33
2023-03-27 00:00:00+00:00,34
2023-07-11 00:00:00+00:00,35
2023-07-12 00:00:00+00:00,36
2024-02-11 00:00:00+00:00,37
2024-04-29 00:00:00+00:00,38
2024-05-12 00:00:00+00:00,39
