time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-29 00:00:00+00:00,16,10,17,9
2025-08-30 00:00:00+00:00,16,10,1,1
2025-08-31 00:00:00+00:00,16,9,11,6
2025-09-01 00:00:00+00:00,23,15,10,8
2025-09-02 00:00:00+00:00,15,9,4,4
2025-09-03 00:00:00+00:00,15,15,11,8
2025-09-04 00:00:00+00:00,261,20,13,7
2025-09-05 00:00:00+00:00,266,16,26,11
2025-09-06 00:00:00+00:00,13,13,15,5
2025-09-07 00:00:00+00:00,14,14,10,5
2025-09-08 00:00:00+00:00,40,18,20,12
2025-09-09 00:00:00+00:00,460,20,12,6
2025-09-10 00:00:00+00:00,81,22,12,10
2025-09-11 00:00:00+00:00,92,10,15,13
